Date,Open,High,Low,Close,Adj Close,Volume
03-07-2018,1859.949951,1879.900024,1857.050049,1874.050049,1695.724976,3242233
04-07-2018,1879.900024,1879.900024,1857.150024,1866.150024,1688.576538,2700614
05-07-2018,1873,1887.5,1862.099976,1880.300049,1701.380249,2472571
06-07-2018,1882.849976,1921,1881.650024,1912.949951,1730.923706,3713781
09-07-2018,1924,1924.400024,1876.5,1883,1703.823486,6151747
10-07-2018,1898,1898.900024,1870.75,1875.099976,1696.675171,5303302
11-07-2018,1900,1998,1894.150024,1979.900024,1791.503174,22903802
12-07-2018,1984,1990.900024,1960.5,1971.349976,1783.766479,6921701
13-07-2018,1975,1997.900024,1974,1981.099976,1792.588623,4148185
16-07-2018,1990,1996,1977.449951,1989.199951,1799.918213,2582159
17-07-2018,1989,2009,1981,2002.150024,1815.286133,3315492
18-07-2018,2005,2011.699951,1993.050049,2000.25,1813.563721,2013869
19-07-2018,2002.099976,2010.449951,1970,1981.400024,1796.472778,1746318
20-07-2018,1984.900024,2000,1984,1996.599976,1810.253784,1934995
23-07-2018,2001,2009.949951,1986,2005.650024,1818.459473,2086201
24-07-2018,2015,2015,1984.150024,1999,1812.429932,2038423
25-07-2018,2001.900024,2002,1968.400024,1981.5,1796.563477,1535492
26-07-2018,1974.949951,1985,1955.099976,1964.699951,1781.331543,3503036
27-07-2018,1960.849976,1964.650024,1940.300049,1943.75,1762.336548,2033977
30-07-2018,1943,1954.699951,1931.550049,1944.599976,1763.107422,1579251
31-07-2018,1942,1947,1928,1940.199951,1759.11792,2204803
01-08-2018,1949.949951,1981.550049,1949.800049,1976.5,1792.029785,2425180
02-08-2018,1980,1985,1945,1948.400024,1766.552612,1509287
03-08-2018,1956.5,1982.050049,1956.5,1979.449951,1794.70459,1505131
06-08-2018,1997,1998.949951,1972.25,1975.550049,1791.168579,1532249
07-08-2018,1978.199951,1979.150024,1960.5,1967.349976,1783.734009,1353521
08-08-2018,1972,1978.300049,1962,1974,1789.763184,1315062
09-08-2018,1980,1980.800049,1966,1974.349976,1790.080566,2060297
10-08-2018,1980.949951,1996.5,1972.050049,1993.099976,1807.080566,2784105
13-08-2018,1997.800049,2004.25,1990,2000.150024,1813.472656,3559575
14-08-2018,1992,2024.599976,1982.400024,2003.550049,1816.555298,3311765
16-08-2018,2000.300049,2020.050049,1995,2008.5,1821.043335,2152065
17-08-2018,2013.849976,2021.900024,2004,2012.75,1824.896484,1213731
20-08-2018,2024,2024,2003.699951,2009.949951,1822.358032,1587032
21-08-2018,2010.150024,2024,2004,2017.650024,1829.339355,1376866
23-08-2018,2022.800049,2038,2020.300049,2035.099976,1845.160645,3046791
