Date,Open,High,Low,Close,Adj Close,Volume
05-31-2018,1734.0,1759.050049,1726.099976,1741.050049,1575.380737,5049371
06-01-2018,1754.0,1757.5,1716.300049,1732.449951,1567.598877,1603856
06-04-2018,1745.0,1749.0,1712.599976,1744.25,1578.276367,1681483
06-05-2018,1744.0,1751.900024,1711.150024,1721.599976,1557.781372,2449568
06-06-2018,1723.0,1734.900024,1715.199951,1725.75,1561.536499,2236512
06-07-2018,1725.0,1749.0,1723.800049,1735.550049,1570.403931,2414762
06-08-2018,1735.0,1757.300049,1735.0,1747.099976,1580.854858,2582138
06-11-2018,1747.099976,1763.0,1743.0,1749.699951,1583.20752,2179378
06-12-2018,1757.0,1785.0,1753.0,1781.0,1611.529175,4608875
06-13-2018,1816.0,1831.650024,1798.0,1824.099976,1650.527954,5370983
06-14-2018,1830.0,1832.300049,1784.0,1787.550049,1617.455933,3819998
06-15-2018,1800.0,1847.099976,1788.599976,1840.050049,1664.960205,9183574
06-18-2018,1867.949951,1867.949951,1822.150024,1829.0,1654.961914,4674987
06-19-2018,1822.150024,1839.0,1821.0,1824.5,1650.889771,3245034
06-20-2018,1832.0,1836.300049,1818.599976,1822.449951,1649.035034,3107695
06-21-2018,1832.0,1832.0,1817.599976,1819.349976,1646.22998,2910659
06-22-2018,1827.0,1827.0,1799.550049,1809.800049,1637.588745,2949458
06-25-2018,1811.900024,1822.349976,1806.0,1819.25,1646.139526,2083217
06-26-2018,1823.0,1861.0,1821.0,1852.0,1675.773315,4679712
06-27-2018,1860.0,1885.150024,1851.25,1858.0,1681.202026,4081208
06-28-2018,1865.0,1871.0,1826.300049,1842.699951,1667.35791,4888125
06-29-2018,1844.900024,1867.400024,1842.300049,1847.75,1671.92749,3506276
07-02-2018,1852.0,1857.800049,1841.099976,1851.349976,1675.184937,2650290
07-03-2018,1859.949951,1879.900024,1857.050049,1874.050049,1695.724976,3242233
07-04-2018,1879.900024,1879.900024,1857.150024,1866.150024,1688.576782,2700614
07-05-2018,1873.0,1887.5,1862.099976,1880.300049,1701.380493,2472571
07-06-2018,1882.849976,1921.0,1881.650024,1912.949951,1730.92334,3713781
07-09-2018,1924.0,1924.400024,1876.5,1883.0,1703.823242,6151747
07-10-2018,1898.0,1898.900024,1870.75,1875.099976,1696.675293,5303302
07-11-2018,1900.0,1998.0,1894.150024,1979.900024,1791.503052,22903802
07-12-2018,1984.0,1990.900024,1960.5,1971.349976,1783.766357,6921701
07-13-2018,1975.0,1997.900024,1974.0,1981.099976,1792.588623,4148185
07-16-2018,1990.0,1996.0,1977.449951,1989.199951,1799.917969,2582159
07-17-2018,1989.0,2009.0,1981.0,2002.150024,1815.286011,3315492
07-18-2018,2005.0,2011.699951,1993.050049,2000.25,1813.563232,2013869
07-19-2018,2002.099976,2010.449951,1970.0,1981.400024,1796.472778,1746318
07-20-2018,1984.900024,2000.0,1984.0,1996.599976,1810.25415,1934995
07-23-2018,2001.0,2009.949951,1986.0,2005.650024,1818.459473,2086201
07-24-2018,2015.0,2015.0,1984.150024,1999.0,1812.430054,2038423
07-25-2018,2001.900024,2002.0,1968.400024,1981.5,1796.563354,1535492
07-26-2018,1974.949951,1985.0,1955.099976,1964.699951,1781.331177,3503036
07-27-2018,1960.849976,1964.650024,1940.300049,1943.75,1762.336792,2033977
07-30-2018,1943.0,1954.699951,1931.550049,1944.599976,1763.107178,1579251
07-31-2018,1942.0,1947.0,1928.0,1940.199951,1759.117676,2204803
08-01-2018,1949.949951,1981.550049,1949.800049,1976.5,1792.030151,2425180
08-02-2018,1980.0,1985.0,1945.0,1948.400024,1766.552734,1509287
08-03-2018,1956.5,1982.050049,1956.5,1979.449951,1794.70459,1505131
08-06-2018,1997.0,1998.949951,1972.25,1975.550049,1791.168579,1532249
08-07-2018,1978.199951,1979.150024,1960.5,1967.349976,1783.733887,1353521
08-08-2018,1972.0,1978.300049,1962.0,1974.0,1789.763306,1315062
08-09-2018,1980.0,1980.800049,1966.0,1974.349976,1790.080688,2060297
