Date,Open,High,Low,Close
11-05-2023,3243.9912,3293.0562,3299.6052,3318.330042
12-05-2023,3252.8804,3306.5625,3313.8376,3291.870496
13-05-2023,3258.8628,3318.9163,3330.3394,3304.941011
14-05-2023,3262.2017,3330.0652,3348.342,3256.347017
15-05-2023,3263.5417,3340.1902,3367.1035,3221.956452
16-05-2023,3263.5232,3349.5066,3386.065,3241.802983
17-05-2023,3262.6028,3358.1865,3404.871,3206.764031
18-05-2023,3261.062,3366.3406,3423.309,3193.844949
19-05-2023,3259.0771,3374.0405,3441.2751,3225.532502
20-05-2023,3256.7466,3381.3242,3458.7153,3263.31804
21-05-2023,3254.1277,3388.2178,3475.607,3247.426023
22-05-2023,3251.2805,3394.7432,3491.9426,3166.487039
23-05-2023,3248.2368,3400.9211,3507.7163,3205.356943
24-05-2023,3245.0457,3406.7754,3522.9343,3267.058005
25-05-2023,3241.762,3412.3345,3537.6084,3273.810061
26-05-2023,3238.4387,3417.624,3551.749,3281.924546
27-05-2023,3235.1099,3422.6738,3565.371,3296.589014
28-05-2023,3231.809,3427.514,3578.4988,3282.456573
29-05-2023,3228.5808,3432.1694,3591.155,3296.589014
30-05-2023,3225.4536,3436.668,3603.3674,3282.456573
31-05-2023,3222.4539,3441.0342,3615.168,3296.589014
01-06-2023,3219.5984,3445.2908,3626.5847,3282.456573
02-06-2023,3216.921,3449.4597,3637.65,3296.589014
03-06-2023,3214.4163,3453.556,3648.3926,3282.456573
04-06-2023,3212.1064,3457.599,3658.844,3296.589014
05-06-2023,3209.9924,3461.6008,3669.0286,3282.456573
06-06-2023,3208.0784,3465.5728,3678.9731,3296.589014
07-06-2023,3206.3665,3469.5225,3688.7024,3282.456573
08-06-2023,3204.839,3473.46,3698.238,3296.589014
09-06-2023,3203.5,3477.3884,3707.5972,3282.456573
10-06-2023,3202.3381,3481.3105,3716.7964,3296.589014
11-06-2023,3201.344,3485.2295,3725.8503,3282.456573
12-06-2023,3200.4968,3489.1443,3734.77,3296.589014
13-06-2023,3199.7942,3493.055,3743.5662,3282.456573
14-06-2023,3199.2202,3496.9607,3752.2444,3296.589014
15-06-2023,3198.7595,3500.8577,3760.8108,3282.456573
