Date,Open,High,Low,Close
11-05-2023,3243.9912,3293.0562,3299.6052,3301.929522
12-05-2023,3252.8804,3306.5625,3313.8376,3307.521524
13-05-2023,3258.8628,3318.9163,3330.3394,3308.852022
14-05-2023,3262.2017,3330.0652,3348.342,3303.616028
15-05-2023,3263.5417,3340.1902,3367.1035,3305.33603
16-05-2023,3263.5232,3349.5066,3386.065,3301.465029
17-05-2023,3262.6028,3358.1865,3404.871,3297.440034
18-05-2023,3261.062,3366.3406,3423.309,3307.50353
19-05-2023,3259.0771,3374.0405,3441.2751,3304.439529
20-05-2023,3256.7466,3381.3242,3458.7153,3304.640034
21-05-2023,3254.1277,3388.2178,3475.607,3303.12103
22-05-2023,3251.2805,3394.7432,3491.9426,3306.464026
23-05-2023,3248.2368,3400.9211,3507.7163,3307.694526
24-05-2023,3245.0457,3406.7754,3522.9343,3300.150518
25-05-2023,3241.762,3412.3345,3537.6084,3288.961506
26-05-2023,3238.4387,3417.624,3551.749,3290.971006
27-05-2023,3235.1099,3422.6738,3565.371,3288.446504
28-05-2023,3231.809,3427.514,3578.4988,3289.463994
29-05-2023,3228.5808,3432.1694,3591.155,3290.964495
30-05-2023,3225.4536,3436.668,3603.3674,3286.228997
31-05-2023,3222.4539,3441.0342,3615.168,3284.982991
01-06-2023,3219.5984,3445.2908,3626.5847,3278.168494
02-06-2023,3216.921,3449.4597,3637.65,3281.987498
03-06-2023,3214.4163,3453.556,3648.3926,3293.541997
04-06-2023,3212.1064,3457.599,3658.844,3293.915002
05-06-2023,3209.9924,3461.6008,3669.0286,3297.361997
06-06-2023,3208.0784,3465.5728,3678.9731,3299.185491
07-06-2023,3206.3665,3469.5225,3688.7024,3296.251995
08-06-2023,3204.839,3473.46,3698.238,3295.590999
09-06-2023,3203.5,3477.3884,3707.5972,3296.296992
10-06-2023,3202.3381,3481.3105,3716.7964,3296.832493
11-06-2023,3201.344,3485.2295,3725.8503,3292.881487
12-06-2023,3200.4968,3489.1443,3734.77,3291.420989
13-06-2023,3199.7942,3493.055,3743.5662,3293.965488
14-06-2023,3199.2202,3496.9607,3752.2444,3288.353491
15-06-2023,3198.7595,3500.8577,3760.8108,3289.090989
16-06-2023,3198.3867,3504.741,3769.2646,3287.041497
17-06-2023,3198.0933,3508.6084,3777.6096,3289.842488
18-06-2023,3197.878,3512.4556,3785.8467,3290.375986
19-06-2023,3197.7112,3516.2783,3793.972,3293.984993
20-06-2023,3197.5894,3520.0718,3801.985,3300.627495
21-06-2023,3197.4902,3523.8328,3809.884,3312.009487
22-06-2023,3197.4187,3527.5554,3817.6619,3312.013987
23-06-2023,3197.3591,3531.2375,3825.3167,3311.864988
24-06-2023,3197.314,3534.8755,3832.8494,3310.856985
25-06-2023,3197.2568,3538.464,3840.2441,3312.490986
26-06-2023,3197.1904,3542.0002,3847.5032,3310.115488
27-06-2023,3197.113,3545.4822,3854.618,3309.755488
28-06-2023,3197.009,3548.9053,3861.5842,3306.148992
29-06-2023,3196.8699,3552.2686,3868.3987,3304.481987
30-06-2023,3196.6963,3555.5703,3875.0554,3305.615498
01-07-2023,3196.491,3558.8093,3881.5525,3307.982002
02-07-2023,3196.2502,3561.9849,3887.8887,3312.777507
03-07-2023,3195.9705,3565.0957,3894.0598,3311.354509
04-07-2023,3195.6472,3568.142,3900.0654,3304.818005
05-07-2023,3195.2915,3571.1252,3905.907,3302.139006
06-07-2023,3194.9058,3574.0437,3911.582,3300.536506
07-07-2023,3194.4768,3576.8984,3917.089,3300.948506
08-07-2023,3194.0117,3579.691,3922.431,3301.602009
09-07-2023,3193.5146,3582.4207,3927.6082,3300.269507
10-07-2023,3192.9817,3585.0906,3932.6233,3299.064006
11-07-2023,3192.4324,3587.7017,3937.478,3298.471506
12-07-2023,3191.8567,3590.2554,3942.1768,3300.243008
13-07-2023,3191.2598,3592.7522,3946.722,3303.084512
14-07-2023,3190.6445,3595.1943,3951.1172,3301.534006
15-07-2023,3190.0142,3597.5835,3955.3667,3301.986003
16-07-2023,3189.373,3599.9211,3959.4739,3301.691003
17-07-2023,3188.7227,3602.209,3963.4434,3301.691003
18-07-2023,3188.0671,3604.4482,3967.2803,3299.642004
19-07-2023,3187.408,3606.6404,3970.9878,3303.127502
20-07-2023,3186.749,3608.7866,3974.5715,3301.684504
21-07-2023,3186.0913,3610.8892,3978.036,3300.179004
22-07-2023,3185.4377,3612.949,3981.3845,3302.059004
23-07-2023,3184.79,3614.967,3984.6233,3300.073
24-07-2023,3184.1497,3616.945,3987.7551,3301.854504
25-07-2023,3183.5178,3618.883,3990.785,3301.606006
26-07-2023,3182.896,3620.783,3993.7168,3303.808008
27-07-2023,3182.2854,3622.646,3996.5554,3303.808008
28-07-2023,3181.6865,3624.472,3999.3032,3299.726006
29-07-2023,3181.0994,3626.2625,4001.9639,3299.930505
30-07-2023,3180.5251,3628.0186,4004.5415,3301.684504
31-07-2023,3179.9634,3629.74,4007.0386,3301.691003
01-08-2023,3179.4148,3631.428,4009.4587,3301.691003
02-08-2023,3178.8782,3633.0833,4011.8044,3301.684504
03-08-2023,3178.3538,3634.7063,4014.0784,3301.684504
04-08-2023,3177.8418,3636.2976,4016.2837,3302.287004
05-08-2023,3177.3403,3637.8567,4018.421,3302.293503
06-08-2023,3176.85,3639.3862,4020.4941,3303.267004
07-08-2023,3176.3694,3640.8845,4022.504,3301.728503
08-08-2023,3175.8987,3642.3533,4024.453,3303.357505
09-08-2023,3175.4363,3643.792,4026.3433,3300.475005
