Date,Predicted Closing Value
23-10-06,4249937.5
23-10-07,4249937.5
23-10-08,4249937.5
23-10-09,4249937.5
23-10-10,4249937.5
23-10-11,4249937.5
23-10-12,4249937.5
23-10-13,4249937.5
23-10-14,4249937.5
23-10-15,4249937.5
23-10-16,4249937.5
23-10-17,4249937.5
23-10-18,4249937.5
23-10-19,4249937.5
23-10-20,4249937.5
23-10-21,4249937.5
23-10-22,4249937.5
23-10-23,4249937.5
23-10-24,4249937.5
23-10-25,4249937.5
23-10-26,4249937.5
23-10-27,4249937.5
23-10-28,4249937.5
23-10-29,4249937.5
23-10-30,4249937.5
23-10-31,4249937.5
23-11-01,4249937.5
23-11-02,4249937.5
23-11-03,4249937.5
23-11-04,4249937.5
23-11-05,4249937.5
23-11-06,4249937.5
23-11-07,4249937.5
23-11-08,4249937.5
23-11-09,4249937.5
23-11-10,4249937.5
23-11-11,4249937.5
23-11-12,4249937.5
23-11-13,4249937.5
23-11-14,4249937.5
23-11-15,4249937.5
23-11-16,4249937.5
23-11-17,4249937.5
23-11-18,4249937.5
23-11-19,4249937.5
23-11-20,4249937.5
23-11-21,4249937.5
23-11-22,4249937.5
23-11-23,4249937.5
23-11-24,4249937.5
23-11-25,4249937.5
23-11-26,4249937.5
23-11-27,4249937.5
23-11-28,4249937.5
23-11-29,4249937.5
23-11-30,4249937.5
23-12-01,4249937.5
23-12-02,4249937.5
23-12-03,4249937.5
23-12-04,4249937.5
23-12-05,4249937.5
23-12-06,4249937.5
23-12-07,4249937.5
23-12-08,4249937.5
23-12-09,4249937.5
23-12-10,4249937.5
23-12-11,4249937.5
23-12-12,4249937.5
23-12-13,4249937.5
23-12-14,4249937.5
23-12-15,4249937.5
23-12-16,4249937.5
23-12-17,4249937.5
23-12-18,4249937.5
23-12-19,4249937.5
23-12-20,4249937.5
23-12-21,4249937.5
23-12-22,4249937.5
23-12-23,4249937.5
23-12-24,4249937.5
23-12-25,4249937.5
23-12-26,4249937.5
23-12-27,4249937.5
23-12-28,4249937.5
23-12-29,4249937.5
23-12-30,4249937.5
23-12-31,4249937.5
24-01-01,4249937.5
24-01-02,4249937.5
24-01-03,4249937.5
24-01-04,4249937.5
24-01-05,4249937.5
24-01-06,4249937.5
24-01-07,4249937.5
24-01-08,4249937.5
24-01-09,4249937.5
24-01-10,4249937.5
24-01-11,4249937.5
24-01-12,4249937.5
24-01-13,4249937.5
